Fecha;Día semana;Sab, dom, festivos;;
4/20/16;Mié;;;
4/21/16;Jue;;;
4/22/16;Vie;;;
4/23/16;Sáb;Sáb;;
4/24/16;Dom;Dom;;
4/25/16;Lun;;;
4/26/16;Mar;;;
4/27/16;Mié;;;
4/28/16;Jue;;;
4/29/16;Vie;;;
4/30/16;Sáb;Sáb;;
5/1/16;Dom;Dom;;
5/2/16;Lun;;;
5/3/16;Mar;;;
5/4/16;Mié;;;
5/5/16;Jue;;;
5/6/16;Vie;;;
5/7/16;Sáb;Sáb;;
5/8/16;Dom;Dom;;
5/9/16;Lun;;;
5/10/16;Mar;;;
5/11/16;Mié;;;
5/12/16;Jue;;;
5/13/16;Vie;;;
5/14/16;Sáb;Sáb;;
5/15/16;Dom;Dom;;
5/16/16;Lun;;;
5/17/16;Mar;;;
5/18/16;Mié;;;
5/19/16;Jue;;;
5/20/16;Vie;;;
5/21/16;Sáb;Sáb;;
5/22/16;Dom;Dom;;
5/23/16;Lun;;;
5/24/16;Mar;;;
5/25/16;Mié;;;
5/26/16;Jue;;;
5/27/16;Vie;;;
5/28/16;Sáb;Sáb;;
5/29/16;Dom;Dom;;
5/30/16;Lun;;;
5/31/16;Mar;;;
6/1/16;Mié;;;
6/2/16;Jue;;;
6/3/16;Vie;;;
6/4/16;Sáb;Sáb;;
6/5/16;Dom;Dom;;
6/6/16;Lun;;;
6/7/16;Mar;;;
6/8/16;Mié;;;
6/9/16;Jue;;;
6/10/16;Vie;;;
6/11/16;Sáb;Sáb;;
6/12/16;Dom;Dom;;
6/13/16;Lun;;;
6/14/16;Mar;;;
6/15/16;Mié;;;
6/16/16;Jue;;;
6/17/16;Vie;;;
6/18/16;Sáb;Sáb;;
6/19/16;Dom;Dom;;
6/20/16;Lun;;;
6/21/16;Mar;;;
6/22/16;Mié;;;
6/23/16;Jue;;;
6/24/16;Vie;;;
6/25/16;Sáb;Sáb;;
6/26/16;Dom;Dom;;
6/27/16;Lun;;;
6/28/16;Mar;;;
6/29/16;Mié;;;
6/30/16;Jue;;;
7/1/16;Vie;;;
7/2/16;Sáb;Sáb;;
7/3/16;Dom;Dom;;
7/4/16;Lun;;;
7/5/16;Mar;;;
7/6/16;Mié;;;
7/7/16;Jue;;;
7/8/16;Vie;;;
7/9/16;Sáb;Sáb;;
7/10/16;Dom;Dom;;
7/11/16;Lun;;;
7/12/16;Mar;;;
7/13/16;Mié;;;
7/14/16;Jue;;;
7/15/16;Vie;;;
7/16/16;Sáb;Sáb;;
7/17/16;Dom;Dom;;
7/18/16;Lun;;;
7/19/16;Mar;;;
7/20/16;Mié;;;
7/21/16;Jue;;;
7/22/16;Vie;;;
7/23/16;Sáb;Sáb;;
7/24/16;Dom;Dom;;
7/25/16;Lun;;;
7/26/16;Mar;;;
7/27/16;Mié;;;
7/28/16;Jue;;;
7/29/16;Vie;;;
7/30/16;Sáb;Sáb;;
7/31/16;Dom;Dom;;
8/1/16;Lun;;;
8/2/16;Mar;;;
8/3/16;Mié;;;
8/4/16;Jue;;;
8/5/16;Vie;;;
8/6/16;Sáb;Sáb;;
8/7/16;Dom;Dom;;
8/8/16;Lun;;;
8/9/16;Mar;;;
8/10/16;Mié;;;
8/11/16;Jue;;;
8/12/16;Vie;;;
8/13/16;Sáb;Sáb;;
8/14/16;Dom;Dom;;
8/15/16;Lun;;;
8/16/16;Mar;;;
8/17/16;Mié;;;
8/18/16;Jue;;;
8/19/16;Vie;;;
8/20/16;Sáb;Sáb;;
8/21/16;Dom;Dom;;
8/22/16;Lun;;;
8/23/16;Mar;;;
8/24/16;Mié;;;
8/25/16;Jue;;;
8/26/16;Vie;;;
8/27/16;Sáb;Sáb;;
8/28/16;Dom;Dom;;
8/29/16;Lun;;;
8/30/16;Mar;;;
8/31/16;Mié;;;
9/1/16;Jue;;;
9/2/16;Vie;;;
9/3/16;Sáb;Sáb;;
9/4/16;Dom;Dom;;
9/5/16;Lun;;;
9/6/16;Mar;;;
9/7/16;Mié;;;
9/8/16;Jue;;;
9/9/16;Vie;;;
9/10/16;Sáb;Sáb;;
9/11/16;Dom;Dom;;
9/12/16;Lun;;;
9/13/16;Mar;;;
9/14/16;Mié;;;
9/15/16;Jue;;;
9/16/16;Vie;;;
9/17/16;Sáb;Sáb;;
9/18/16;Dom;Dom;;
9/19/16;Lun;;;
9/20/16;Mar;;;
9/21/16;Mié;;;
9/22/16;Jue;;;
9/23/16;Vie;;;
9/24/16;Sáb;Sáb;;
9/25/16;Dom;Dom;;
9/26/16;Lun;;;
9/27/16;Mar;;;
9/28/16;Mié;;;
9/29/16;Jue;;;
9/30/16;Vie;;;
10/1/16;Sáb;Sáb;;
10/2/16;Dom;Dom;;
10/3/16;Lun;;;
10/4/16;Mar;;;
10/5/16;Mié;;;
10/6/16;Jue;;;
10/7/16;Vie;;;
10/8/16;Sáb;Sáb;;
10/9/16;Dom;Dom;;
10/10/16;Lun;;;
10/11/16;Mar;;;
10/12/16;Mié;;;
10/13/16;Jue;;;
10/14/16;Vie;;;
10/15/16;Sáb;Sáb;;
10/16/16;Dom;Dom;;
10/17/16;Lun;;;
10/18/16;Mar;;;
10/19/16;Mié;;;
10/20/16;Jue;;;
10/21/16;Vie;;;
10/22/16;Sáb;Sáb;;
10/23/16;Dom;Dom;;
10/24/16;Lun;;;
10/25/16;Mar;;;
10/26/16;Mié;;;
10/27/16;Jue;;;
10/28/16;Vie;;;
10/29/16;Sáb;Sáb;;
10/30/16;Dom;Dom;;
10/31/16;Lun;;;
11/1/16;Mar;;;
11/2/16;Mié;;;
11/3/16;Jue;;;
11/4/16;Vie;;;
11/5/16;Sáb;Sáb;;
11/6/16;Dom;Dom;;
11/7/16;Lun;;;
11/8/16;Mar;;;
11/9/16;Mié;;;
11/10/16;Jue;;;
11/11/16;Vie;;;
11/12/16;Sáb;Sáb;;
11/13/16;Dom;Dom;;
11/14/16;Lun;;;
11/15/16;Mar;;;
11/16/16;Mié;;;
11/17/16;Jue;;;
11/18/16;Vie;;;
11/19/16;Sáb;Sáb;;
11/20/16;Dom;Dom;;
11/21/16;Lun;;;
11/22/16;Mar;;;
11/23/16;Mié;;;
11/24/16;Jue;;;
11/25/16;Vie;;;
11/26/16;Sáb;Sáb;;
11/27/16;Dom;Dom;;
11/28/16;Lun;;;
11/29/16;Mar;;;
11/30/16;Mié;;;
12/1/16;Jue;;;
12/2/16;Vie;;;
12/3/16;Sáb;Sáb;;
12/4/16;Dom;Dom;;
12/5/16;Lun;;;
12/6/16;Mar;;;
12/7/16;Mié;;;
12/8/16;Jue;;;
12/9/16;Vie;;;
12/10/16;Sáb;Sáb;;
12/11/16;Dom;Dom;;
12/12/16;Lun;;;
12/13/16;Mar;;;
12/14/16;Mié;;;
12/15/16;Jue;;;
12/16/16;Vie;;;
12/17/16;Sáb;Sáb;;
12/18/16;Dom;Dom;;
12/19/16;Lun;;;
12/20/16;Mar;;;
12/21/16;Mié;;;
12/22/16;Jue;;;
12/23/16;Vie;;;
12/24/16;Sáb;Sáb;;
12/25/16;Dom;Dom;;
12/26/16;Lun;;;
12/27/16;Mar;;;
12/28/16;Mié;;;
12/29/16;Jue;;;
12/30/16;Vie;;;
12/31/16;Sáb;Sáb;;
1/1/17;Dom;Dom;;
1/2/17;Lun;;;
1/3/17;Mar;;;
1/4/17;Mié;;;
1/5/17;Jue;;;
1/6/17;Vie;;;
1/7/17;Sáb;Sáb;;
1/8/17;Dom;Dom;;
1/9/17;Lun;;;
1/10/17;Mar;;;
1/11/17;Mié;;;
1/12/17;Jue;;;
1/13/17;Vie;;;
1/14/17;Sáb;Sáb;;
1/15/17;Dom;Dom;;
1/16/17;Lun;;;
1/17/17;Mar;;;
1/18/17;Mié;;;
1/19/17;Jue;;;
1/20/17;Vie;;;
1/21/17;Sáb;Sáb;;
1/22/17;Dom;Dom;;
1/23/17;Lun;;;
1/24/17;Mar;;;
1/25/17;Mié;;;
1/26/17;Jue;;;
1/27/17;Vie;;;
1/28/17;Sáb;Sáb;;
1/29/17;Dom;Dom;;
1/30/17;Lun;;;
1/31/17;Mar;;;
2/1/17;Mié;;;
2/2/17;Jue;;;
2/3/17;Vie;;;
2/4/17;Sáb;Sáb;;
2/5/17;Dom;Dom;;
2/6/17;Lun;;;
2/7/17;Mar;;;
2/8/17;Mié;;;
2/9/17;Jue;;;
2/10/17;Vie;;;
2/11/17;Sáb;Sáb;;
2/12/17;Dom;Dom;;
2/13/17;Lun;;;
2/14/17;Mar;;;
2/15/17;Mié;;;
2/16/17;Jue;;;
2/17/17;Vie;;;
2/18/17;Sáb;Sáb;;
2/19/17;Dom;Dom;;
2/20/17;Lun;;;
2/21/17;Mar;;;
2/22/17;Mié;;;
2/23/17;Jue;;;
2/24/17;Vie;;;
2/25/17;Sáb;Sáb;;
2/26/17;Dom;Dom;;
2/27/17;Lun;;;
2/28/17;Mar;;;
3/1/17;Mié;;;
3/2/17;Jue;;;
3/3/17;Vie;;;
3/4/17;Sáb;Sáb;;
