Fecha;Día semana;Sab, dom, festivos;;
11/12/19;Mar;;;
11/13/19;Mié;;;
11/14/19;Jue;;;
11/15/19;Vie;;;
11/16/19;Sáb;Sáb;;
11/17/19;Dom;Dom;;
11/18/19;Lun;;;
11/19/19;Mar;;;
11/20/19;Mié;;;
11/21/19;Jue;;;
11/22/19;Vie;;;
11/23/19;Sáb;Sáb;;
11/24/19;Dom;Dom;;
11/25/19;Lun;;;
11/26/19;Mar;;;
11/27/19;Mié;;;
11/28/19;Jue;;;
11/29/19;Vie;;;
11/30/19;Sáb;Sáb;;
12/1/19;Dom;Dom;;
12/2/19;Lun;;;
12/3/19;Mar;;;
12/4/19;Mié;;;
12/5/19;Jue;;;
12/6/19;Vie;Fest;;
12/7/19;Sáb;Sáb;;
12/8/19;Dom;Dom;;
12/9/19;Lun;Fest;;
12/10/19;Mar;;;
12/11/19;Mié;;;
12/12/19;Jue;;;
12/13/19;Vie;;;
12/14/19;Sáb;Sáb;;
12/15/19;Dom;Dom;;
12/16/19;Lun;;;
12/17/19;Mar;;;
12/18/19;Mié;;;
12/19/19;Jue;;;
12/20/19;Vie;;;
12/21/19;Sáb;Sáb;;
12/22/19;Dom;Dom;;
12/23/19;Lun;;;
12/24/19;Mar;;;
12/25/19;Mié;Fest;;
12/26/19;Jue;;;
12/27/19;Vie;;;
12/28/19;Sáb;Sáb;;
12/29/19;Dom;Dom;;
12/30/19;Lun;;;
12/31/19;Mar;;;
